id	taxid	organism_name	infraspecific_name	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species
GCF_000011025.1	680646	Rothia mucilaginosa DY-18	strain=DY-18	models/r/rothia/Rothia_mucilaginosa_DY_18.xml.gz	680646	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia sp001808955
GCF_000196695.1	685727	Rhodococcus hoagii 103S	strain=103S	models/r/rhodococcus/Rhodococcus_hoagii_103S.xml.gz	685727	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Rhodococcus	s__Rhodococcus hoagii
GCF_000175375.1	553207	Corynebacterium matruchotii ATCC 14266	strain=ATCC 14266	models/c/corynebacterium/Corynebacterium_matruchotii_ATCC_14266.xml.gz	553207	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium matruchotii
GCF_000069945.1	504474	Corynebacterium urealyticum DSM 7109	strain=DSM 7109	models/c/corynebacterium/Corynebacterium_urealyticum_DSM_7109.xml.gz	504474	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium urealyticum
GCF_001895025.1	1219030	Rhodococcus zopfii NBRC 100606 = JCM 9919	strain=NBRC 100606	models/r/rhodococcus/Rhodococcus_zopfii_NBRC_100606_JCM_9919.xml.gz	1219030	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Rhodococcus	s__Rhodococcus zopfii
GCF_900109885.1	43775	Syntrophus gentianae	strain=DSM 8423	models/s/syntrophus/Syntrophus_gentianae_DSM_8423.xml.gz	43775	d__Bacteria	p__Desulfobacterota	c__Syntrophia	o__Syntrophales	f__Syntrophaceae	g__Syntrophus	s__Syntrophus gentianae
GCF_000023065.1	595494	Tolumonas auensis DSM 9187	strain=DSM 9187	models/t/tolumonas/Tolumonas_auensis_DSM_9187.xml.gz	595494	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Tolumonas	s__Tolumonas auensis
GCF_000235445.1	679200	Johnsonella ignava ATCC 51276	strain=ATCC 51276	models/j/johnsonella/Johnsonella_ignava_ATCC_51276.xml.gz	679200	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Johnsonella	s__Johnsonella ignava
GCF_000160035.2	592026	Catonella morbi ATCC 51271	strain=ATCC 51271	models/c/catonella/Catonella_morbi_ATCC_51271.xml.gz	592026	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Catonella	s__Catonella morbi
GCF_000016545.1	351627	Caldicellulosiruptor saccharolyticus DSM 8903	strain=DSM 8903	models/c/caldicellulosiruptor/Caldicellulosiruptor_saccharolyticus_DSM_8903.xml.gz	351627	d__Bacteria	p__Firmicutes_A	c__Thermoanaerobacteria	o__Caldicellulosiruptorales	f__Caldicellulosiruptoraceae	g__Caldicellulosiruptor	s__Caldicellulosiruptor saccharolyticus
GCF_001544295.1	1218092	Enterococcus pseudoavium NBRC 100491	strain=NBRC 100491	models/e/enterococcus/Enterococcus_pseudoavium_NBRC_100491.xml.gz	1218092	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_A	s__Enterococcus_A pseudoavium
GCF_001318405.1	44008	Enterococcus cecorum	strain=SA3	models/e/enterococcus/Enterococcus_cecorum_SA3.xml.gz	44008	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_E	s__Enterococcus_E cecorum
GCF_000406945.1	1139219	Enterococcus dispar ATCC 51266	strain=ATCC 51266	models/e/enterococcus/Enterococcus_dispar_ATCC_51266.xml.gz	1139219	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus_C	s__Enterococcus_C dispar
GCF_002102095.1	44010	Mycobacterium conspicuum	strain=DSM 44136	models/m/mycobacterium/Mycobacterium_conspicuum_DSM_44136.xml.gz	44010	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium conspicuum
GCF_000148645.1	550540	Ferrimonas balearica DSM 9799	strain=DSM 9799	models/f/ferrimonas/Ferrimonas_balearica_DSM_9799.xml.gz	550540	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Ferrimonas	s__Ferrimonas balearica
GCF_000718985.1	44060	Streptomyces megasporus	strain=NRRL B-16372	models/s/streptomyces/Streptomyces_megasporus_NRRL_B_16372.xml.gz	44060	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces megasporus
GCF_000293805.1	1206781	Paenibacillus alvei DSM 29	strain=DSM 29	models/p/paenibacillus/Paenibacillus_alvei_DSM_29.xml.gz	1206781	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_B	s__Paenibacillus_B alvei
GCF_000756615.1	44251	Paenibacillus durus	strain=DSM 1735	models/p/paenibacillus/Paenibacillus_durus_DSM_1735.xml.gz	44251	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus durus
GCF_000746875.1	44252	Paenibacillus macerans	strain=8244	models/p/paenibacillus/Paenibacillus_macerans_8244.xml.gz	44252	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_A	s__Paenibacillus_A macerans
GCF_000344805.1	1245469	Bradyrhizobium oligotrophicum S58	strain=S58	models/b/bradyrhizobium/Bradyrhizobium_oligotrophicum_S58.xml.gz	1245469	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium oligotrophicum
GCF_000427425.1	935948	Caldanaerobius polysaccharolyticus DSM 13641	strain=DSM 13641	models/c/caldanaerobius/Caldanaerobius_polysaccharolyticus_DSM_13641.xml.gz	935948	d__Bacteria	p__Firmicutes_A	c__Thermoanaerobacteria	o__Thermoanaerobacterales	f__Caldanaerobiaceae	g__Caldanaerobius	s__Caldanaerobius polysaccharolyticus
GCF_000500045.1	1417230	Borrelia persica No12	strain=No12	models/b/borrelia/Borrelia_persica_No12.xml.gz	1417230	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Borreliales	f__Borreliaceae	g__Borrelia	s__Borrelia persica
GCF_001007935.1	44574	Nitrosomonas communis	strain=Nm2	models/n/nitrosomonas/Nitrosomonas_communis_Nm2.xml.gz	44574	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas communis
GCF_900143275.1	1131553	Nitrosomonas cryotolerans ATCC 49181	strain=ATCC 49181	models/n/nitrosomonas/Nitrosomonas_cryotolerans_ATCC_49181.xml.gz	1131553	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas cryotolerans
GCF_900107165.1	44576	Nitrosomonas halophila	strain=Nm1	models/n/nitrosomonas/Nitrosomonas_halophila_Nm1.xml.gz	44576	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas halophila
GCF_001455205.1	44577	Nitrosomonas ureae	strain=Nm10	models/n/nitrosomonas/Nitrosomonas_ureae_Nm10.xml.gz	44577	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__Nitrosomonas ureae
GCF_000265295.1	760154	Sulfurospirillum barnesii SES-3	strain=SES-3	models/s/sulfurospirillum/Sulfurospirillum_barnesii_SES_3.xml.gz	760154	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurospirillaceae	g__Sulfurospirillum	s__Sulfurospirillum barnesii
GCF_000428885.1	1121920	Geothrix fermentans DSM 14018	strain=DSM 14018	models/g/geothrix/Geothrix_fermentans_DSM_14018.xml.gz	1121920	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__Geothrix	s__Geothrix fermentans
GCF_001553605.1	44742	Desulfovibrio fairfieldensis	strain=CCUG 45958	models/d/desulfovibrio/Desulfovibrio_fairfieldensis_CCUG_45958.xml.gz	44742	d__Bacteria	p__Desulfobacterota_I	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio fairfieldensis
GCF_900130065.1	1123282	Sporobacter termitidis DSM 10068	strain=DSM 10068	models/s/sporobacter/Sporobacter_termitidis_DSM_10068.xml.gz	1123282	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Sporobacter	s__Sporobacter termitidis
GCF_900143265.1	1121883	Fervidobacterium gondwanense DSM 13020	strain=DSM 13020	models/f/fervidobacterium/Fervidobacterium_gondwanense_DSM_13020.xml.gz	1121883	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Thermotogales	f__Fervidobacteriaceae	g__Fervidobacterium	s__Fervidobacterium gondwanense
GCF_900142755.1	44933	Halomonas cupida	strain=DSM 4740	models/h/halomonas/Halomonas_cupida_DSM_4740.xml.gz	44933	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Halomonas	s__Halomonas cupida
GCF_001467055.1	45056	Legionella adelaidensis	strain=1762-AUS-E	models/l/legionella/Legionella_adelaidensis_1762_AUS_E.xml.gz	45056	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella_A	s__Legionella_A adelaidensis
GCF_000621525.1	1408444	Legionella fairfieldensis ATCC 49588	strain=ATCC 49588	models/l/legionella/Legionella_fairfieldensis_ATCC_49588.xml.gz	1408444	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Tatlockia	s__Tatlockia fairfieldensis
GCF_001467645.1	45065	Legionella geestiana	strain=ATCC 49504	models/l/legionella/Legionella_geestiana_ATCC_49504.xml.gz	45065	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella_B	s__Legionella_B geestiana
GCF_001467695.1	45066	Legionella gratiana	strain=Lyon 8420412	models/l/legionella/Legionella_gratiana_Lyon_8420412.xml.gz	45066	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella gratiana
GCF_000622185.1	1122164	Legionella lansingensis DSM 19556 = ATCC 49751	strain=ATCC 49751	models/l/legionella/Legionella_lansingensis_DSM_19556_ATCC_49751.xml.gz	1122164	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Tatlockia	s__Tatlockia lansingensis
GCF_001467825.1	45068	Legionella londiniensis	strain=ATCC 49505	models/l/legionella/Legionella_londiniensis_ATCC_49505.xml.gz	45068	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella_A	s__Legionella_A londiniensis
GCF_001467895.1	45070	Legionella nautarum	strain=ATCC 49506	models/l/legionella/Legionella_nautarum_ATCC_49506.xml.gz	45070	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Tatlockia	s__Tatlockia nautarum
GCF_001467975.1	45073	Legionella quinlivanii	strain=CDC#1442-AUS-E	models/l/legionella/Legionella_quinlivanii_CDC_1442_AUS_E.xml.gz	45073	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella_C	s__Legionella_C quinlivanii
GCF_000373765.1	1122169	Legionella shakespearei DSM 23087	strain=DSM 23087	models/l/legionella/Legionella_shakespearei_DSM_23087.xml.gz	1122169	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella shakespearei
GCF_001467535.1	45076	Legionella worsleiensis	strain=ATCC 49508	models/l/legionella/Legionella_worsleiensis_ATCC_49508.xml.gz	45076	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__Legionella worsleiensis
GCF_000411115.1	641143	Capnocytophaga granulosa ATCC 51502	strain=ATCC 51502	models/c/capnocytophaga/Capnocytophaga_granulosa_ATCC_51502.xml.gz	641143	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__Capnocytophaga granulosa
GCF_001553545.1	45243	Capnocytophaga haemolytica	strain=CCUG 32990	models/c/capnocytophaga/Capnocytophaga_haemolytica_CCUG_32990.xml.gz	45243	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	s__Capnocytophaga haemolytica
GCF_000419525.1	998674	Leucothrix mucor DSM 2157	strain=DSM 2157	models/l/leucothrix/Leucothrix_mucor_DSM_2157.xml.gz	998674	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Leucothrix	s__Leucothrix mucor
GCF_000426485.1	1121485	Dysgonomonas capnocytophagoides DSM 22835	strain=DSM 22835	models/d/dysgonomonas/Dysgonomonas_capnocytophagoides_DSM_22835.xml.gz	1121485	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Dysgonomonadaceae	g__Dysgonomonas	s__Dysgonomonas capnocytophagoides
GCF_000026765.1	45361	Mycoplasma conjunctivae	strain=HRC/581T	models/m/mycoplasma/Mycoplasma_conjunctivae_HRC_581T.xml.gz	45361	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma conjunctivae
GCF_000524555.1	743966	Mycoplasma bovoculi M165/69	strain=M165/69	models/m/mycoplasma/Mycoplasma_bovoculi_M165_69.xml.gz	743966	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Mesomycoplasma	s__Mesomycoplasma bovoculi
GCF_000367445.1	1188234	Mycoplasma alkalescens 14918	strain=14918	models/m/mycoplasma/Mycoplasma_alkalescens_14918.xml.gz	1188234	d__Bacteria	p__Firmicutes	c__Bacilli	o__Mycoplasmatales	f__Metamycoplasmataceae	g__Metamycoplasma	s__Metamycoplasma alkalescens
GCF_000353565.1	1300222	Brevibacillus borstelensis AK1	strain=AK1	models/b/brevibacillus/Brevibacillus_borstelensis_AK1.xml.gz	1300222	d__Bacteria	p__Firmicutes	c__Bacilli	o__Brevibacillales	f__Brevibacillaceae	g__Brevibacillus	s__Brevibacillus borstelensis
GCF_000511955.1	865861	[Clostridium] ultunense DSM 10521	strain=DSM 10521	models/c/clostridium/Clostridium_ultunense_DSM_10521.xml.gz	865861	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Tissierellales	f__Tepidimicrobiaceae	g__Schnuerera	s__Schnuerera ultunensis
GCF_001298525.1	45610	Psychrobacter urativorans	strain=R10.10B	models/p/psychrobacter/Psychrobacter_urativorans_R10_10B.xml.gz	45610	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter urativorans_A
GCF_000385925.1	1302863	Streptococcus cristatus AS 1.3089	strain=AS 1.3089	models/s/streptococcus/Streptococcus_cristatus_AS_1_3089.xml.gz	1302863	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus cristatus_B
GCF_001685465.1	45658	Vibrio scophthalmi	strain=VS-12	models/v/vibrio/Vibrio_scophthalmi_VS_12.xml.gz	45658	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio scophthalmi
GCF_000024325.1	485915	Desulfohalobium retbaense DSM 5692	strain=DSM 5692	models/d/desulfohalobium/Desulfohalobium_retbaense_DSM_5692.xml.gz	485915	d__Bacteria	p__Desulfobacterota_I	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfohalobiaceae	g__Desulfohalobium	s__Desulfohalobium retbaense
GCF_001571085.1	1314749	Azohydromonas lata NBRC 102462	strain=NBRC 102462	models/a/azohydromonas/Azohydromonas_lata_NBRC_102462.xml.gz	1314749	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Azohydromonas	s__Azohydromonas lata
GCF_000156015.1	511680	Butyrivibrio crossotus DSM 2876	strain=DSM 2876	models/b/butyrivibrio/Butyrivibrio_crossotus_DSM_2876.xml.gz	511680	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio_A	s__Butyrivibrio_A crossotus
GCF_001613105.1	1210086	Nocardia pseudobrasiliensis NBRC 108224	strain=NBRC 108224	models/n/nocardia/Nocardia_pseudobrasiliensis_NBRC_108224.xml.gz	1210086	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Nocardia	s__Nocardia pseudobrasiliensis
GCF_000160675.1	638301	Granulicatella adiacens ATCC 49175	strain=ATCC 49175	models/g/granulicatella/Granulicatella_adiacens_ATCC_49175.xml.gz	638301	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Granulicatella	s__Granulicatella adiacens
GCF_000160075.2	592010	Abiotrophia defectiva ATCC 49176	strain=ATCC 49176	models/a/abiotrophia/Abiotrophia_defectiva_ATCC_49176.xml.gz	592010	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia	s__Abiotrophia defectiva
GCF_001552175.1	1220561	Actinomadura kijaniata NBRC 14229	strain=NBRC 14229	models/a/actinomadura/Actinomadura_kijaniata_NBRC_14229.xml.gz	1220561	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Spirillospora	s__Spirillospora kijaniata
GCF_001552215.1	1220564	Actinomadura macra NBRC 14102	strain=NBRC 14102	models/a/actinomadura/Actinomadura_macra_NBRC_14102.xml.gz	1220564	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Spirillospora	s__Spirillospora macra
GCF_900109355.1	46177	Nonomuraea pusilla	strain=DSM 43357	models/n/nonomuraea/Nonomuraea_pusilla_DSM_43357.xml.gz	46177	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Nonomuraea	s__Nonomuraea pusilla
GCF_000703005.1	1458469	Pseudobutyrivibrio ruminis HUN009	strain=HUN009	models/p/pseudobutyrivibrio/Pseudobutyrivibrio_ruminis_HUN009.xml.gz	1458469	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio ruminis_A
GCF_900114055.1	46223	Thermoflavimicrobium dichotomicum	strain=DSM 44778	models/t/thermoflavimicrobium/Thermoflavimicrobium_dichotomicum_DSM_44778.xml.gz	46223	d__Bacteria	p__Firmicutes	c__Bacilli	o__Thermoactinomycetales	f__Thermoactinomycetaceae	g__Thermoflavimicrobium	s__Thermoflavimicrobium dichotomicum
GCF_001587375.1	46224	Bacillus sporothermodurans	strain=B4102	models/b/bacillus/Bacillus_sporothermodurans_B4102.xml.gz	46224	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_C	g__Heyndrickxia	s__Heyndrickxia sporothermodurans
GCF_000155205.1	471875	Ruminococcus lactaris ATCC 29176	strain=ATCC 29176	models/r/ruminococcus/Ruminococcus_lactaris_ATCC_29176.xml.gz	471875	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Mediterraneibacter	s__Mediterraneibacter lactaris
GCF_002161865.1	46240	Paenibacillus apiarius	strain=NRRL B-23460	models/p/paenibacillus/Paenibacillus_apiarius_NRRL_B_23460.xml.gz	46240	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_B	s__Paenibacillus_B apiarius
GCF_000379865.1	1122247	Mycobacterium hassiacum DSM 44199	strain=DSM 44199	models/m/mycobacterium/Mycobacterium_hassiacum_DSM_44199.xml.gz	1122247	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium hassiacum
GCF_000147695.2	697303	Thermoanaerobacter wiegelii Rt8.B1	strain=Rt8.B1	models/t/thermoanaerobacter/Thermoanaerobacter_wiegelii_Rt8_B1.xml.gz	697303	d__Bacteria	p__Firmicutes_A	c__Thermoanaerobacteria	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacter	s__Thermoanaerobacter wiegelii
GCF_000242595.2	889378	Spirochaeta africana DSM 8902	strain=DSM 8902	models/s/spirochaeta/Spirochaeta_africana_DSM_8902.xml.gz	889378	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__DSM-27196	f__DSM-8902	g__Spirochaeta_B	s__Spirochaeta_B africana
GCF_000373545.1	942938	Alkalispirochaeta alkalica DSM 8900	strain=DSM 8900	models/a/alkalispirochaeta/Alkalispirochaeta_alkalica_DSM_8900.xml.gz	942938	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__DSM-27196	f__Alkalispirochaetaceae	g__Alkalispirochaeta	s__Alkalispirochaeta alkalica
GCF_000147835.2	690566	Sphingobium chlorophenolicum L-1	strain=L-1	models/s/sphingobium/Sphingobium_chlorophenolicum_L_1.xml.gz	690566	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium chlorophenolicum
GCF_000379025.1	926561	Orenia marismortui DSM 5156	strain=DSM 5156	models/o/orenia/Orenia_marismortui_DSM_5156.xml.gz	926561	d__Bacteria	p__Firmicutes_F	c__Halanaerobiia	o__Halobacteroidales	f__Halobacteroidaceae	g__Orenia	s__Orenia marismortui
GCF_000154525.1	449673	Bacteroides stercoris ATCC 43183	strain=ATCC 43183	models/b/bacteroides/Bacteroides_stercoris_ATCC_43183.xml.gz	449673	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides clarus
GCF_000016905.1	391009	Thermosipho melanesiensis BI429	strain=BI429	models/t/thermosipho/Thermosipho_melanesiensis_BI429.xml.gz	391009	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Thermotogales	f__Fervidobacteriaceae	g__Thermosipho	s__Thermosipho melanesiensis
GCF_002091755.1	1215112	Pseudomonas nitroreducens NBRC 12694	strain=NBRC 12694	models/p/pseudomonas/Pseudomonas_nitroreducens_NBRC_12694.xml.gz	1215112	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas nitroreducens
GCF_900168365.1	1351755	Clostridium chauvoei JF4335		models/c/clostridium/Clostridium_chauvoei_JF4335.xml.gz	1351755	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium chauvoei
GCF_000743575.1	46914	Devosia riboflavina	strain=IFO13584	models/d/devosia/Devosia_riboflavina_IFO13584.xml.gz	46914	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__Devosia riboflavina
GCF_000172975.1	469381	Dethiosulfovibrio peptidovorans DSM 11002	strain=DSM 11002	models/d/dethiosulfovibrio/Dethiosulfovibrio_peptidovorans_DSM_11002.xml.gz	469381	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Dethiosulfovibrionaceae	g__Dethiosulfovibrio	s__Dethiosulfovibrio peptidovorans
GCF_000429985.1	1121441	Desulfovibrio bastinii DSM 16055	strain=DSM 16055	models/d/desulfovibrio/Desulfovibrio_bastinii_DSM_16055.xml.gz	1121441	d__Bacteria	p__Desulfobacterota_I	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Maridesulfovibrio	s__Maridesulfovibrio bastinii
GCF_900167125.1	1121449	Desulfovibrio gracilis DSM 16080	strain=DSM 16080	models/d/desulfovibrio/Desulfovibrio_gracilis_DSM_16080.xml.gz	1121449	d__Bacteria	p__Desulfobacterota_I	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Paucidesulfovibrio	s__Paucidesulfovibrio gracilis
GCF_000620945.1	1121344	[Clostridium] viride DSM 6836	strain=DSM 6836	models/c/clostridium/Clostridium_viride_DSM_6836.xml.gz	1121344	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__Evtepia viridis
GCF_900103175.1	47312	Tsukamurella pulmonis	strain=DSM 44142	models/t/tsukamurella/Tsukamurella_pulmonis_DSM_44142.xml.gz	47312	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Tsukamurella	s__Tsukamurella pulmonis
GCF_001592285.1	1349792	Hydrogenophaga pseudoflava NBRC 102511	strain=NBRC 102511	models/h/hydrogenophaga/Hydrogenophaga_pseudoflava_NBRC_102511.xml.gz	1349792	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Hydrogenophaga	s__Hydrogenophaga pseudoflava
GCF_000445425.4	1302858	Borrelia miyamotoi LB-2001	strain=LB-2001	models/b/borrelia/Borrelia_miyamotoi_LB_2001.xml.gz	1302858	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Borreliales	f__Borreliaceae	g__Borrelia	s__Borrelia miyamotoi
GCF_001435935.1	1423782	Lactobacillus panis DSM 6035	strain=DSM 6035	models/l/lactobacillus/Lactobacillus_panis_DSM_6035.xml.gz	1423782	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus panis
GCF_001274715.1	47500	Aneurinibacillus migulanus	strain=DSM 2895	models/a/aneurinibacillus/Aneurinibacillus_migulanus_DSM_2895.xml.gz	47500	d__Bacteria	p__Firmicutes	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus	s__Aneurinibacillus migulanus
GCF_000186425.1	887898	Lautropia mirabilis ATCC 51599	strain=ATCC 51599	models/l/lautropia/Lautropia_mirabilis_ATCC_51599.xml.gz	887898	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Lautropia	s__Lautropia mirabilis
